author_sort,authors,title_sort,title,isbn,pubdate,publisher,series,series_index
"Dear, Brian","Brian Dear","Friendly Orange Glow: The Untold Story of the PLATO System and the Dawn of Cyberculture, The","The Friendly Orange Glow: The Untold Story of the PLATO System and the Dawn of Cyberculture","9781101871553","2017-11-14T00:00:00+10:00","Pantheon","","1.0"
"Lessig, Lawrence","Lawrence Lessig","Future of Ideas: The Fate of the Commons in a Connected World, The","The Future of Ideas: The Fate of the Commons in a Connected World","9780375726446","2002-10-21T23:00:00+10:00","Vintage","","1.0"
"Sukin, Isaac","Isaac Sukin","Game Development With Three.js","Game Development With Three.js","","2013-10-24T00:00:00+10:00","Packt Publishing","","1.0"
"Pearson, Matt","Matt Pearson","Generative Art: A Practical Guide Using Processing","Generative Art: A Practical Guide Using Processing","9781935182627","2011-09-15T00:00:00+10:00","Manning","","1.0"
"Unknown","Unknown","Getting Started Making Video Games","Getting Started Making Video Games","","0101-01-01T10:00:00+10:00","","","1.0"
"Thompson, Mick","Mick Thompson","Getting Started With GEO, CouchDB, and Node.js","Getting Started With GEO, CouchDB, and Node.js","9781449307516","2011-08-02T00:00:00+10:00","O'Reilly Media","","1.0"
"Richardson, Matt & Wallace, Shawn","Matt Richardson & Shawn Wallace","Getting Started With Raspberry Pi","Getting Started With Raspberry Pi","9781449344238","2012-12-10T23:00:00+10:00","Maker Media, Inc","","1.0"
"Manson, Rob","Rob Manson","Getting Started With WebRTC","Getting Started With WebRTC","9781782166306","2013-09-25T00:00:00+10:00","Packt Publishing","","1.0"
"Jongh, Robin de","Robin de Jongh","Google SketchUp for Game Design: Beginner's Guide","Google SketchUp for Game Design: Beginner's Guide","9781849691345","2011-11-25T00:00:00+10:00","Packt Publishing","","1.0"
"Fuzz, Mick","Mick Fuzz","Guide to Hosting your own Video Site","Guide to Hosting your own Video Site","","0101-01-01T10:00:00+10:00","Unknown","","1.0"
"games, Steve Jackson","Steve Jackson games","Gurps Atlantis","Gurps Atlantis","","2005-04-16T02:36:38+10:00","","","1.0"
"Masters, Phil","Phil Masters","GURPS Atlantis (GURPS Third Edition)","GURPS Atlantis (GURPS Third Edition)","9781556344787","2002-03-01T00:00:00+10:00","Steve Jackson Games","","1.0"
"games, Steve Jackson","Steve Jackson games","GURPS Classic Steam-Tech","GURPS Classic Steam-Tech","","2009-07-10T02:36:14+10:00","","","1.0"
"games, Steve Jackson","Steve Jackson games","GURPS Classic Ultra-Tech 2","GURPS Classic Ultra-Tech 2","","2007-09-18T00:34:04+10:00","","","1.0"
"Unknown","Unknown","GURPS Combat File","GURPS Combat File","","2006-01-10T06:30:53+10:00","","","1.0"
"Haring, Scott","Scott Haring","GURPS Infinite Worlds","GURPS Infinite Worlds","","2006-03-11T03:50:41+10:00","","","1.0"
"Hite, Kenneth & Jackson, Steve & Ford, John M.","Kenneth Hite & Steve Jackson & John M. Ford","GURPS Infinite Worlds (GURPS Fourth Edition)","GURPS Infinite Worlds (GURPS Fourth Edition)","9781556347344","2005-01-01T00:00:00+10:00","Steve Jackson Games","","1.0"
"games, Steve Jackson","Steve Jackson games","GURPS Lite 2003","GURPS Lite 2003","","2003-06-01T03:37:16+10:00","","","1.0"
"games, Steve Jackson","Steve Jackson games","GURPS LITE 4ed","GURPS LITE 4ed","","2004-08-01T05:50:07+10:00","","4","4.0"
"games, Steve Jackson","Steve Jackson games","Gurps Magic Spell Charts 4e","Gurps Magic Spell Charts 4e","","2006-01-11T19:42:27+10:00","","","1.0"
"Unknown","Unknown","GURPS Skill Categories","GURPS Skill Categories","","2005-06-25T08:42:08+10:00","","","1.0"
"Unknown","Unknown","GURPS Space Planetary Record","GURPS Space Planetary Record","","2006-05-13T03:20:40+10:00","","","1.0"
"Haring, Scott","Scott Haring","GURPS Traveller ISW Compat Counters","GURPS Traveller ISW Compat Counters","","2006-04-20T01:52:27+10:00","","","1.0"
