Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Recommended For,Recommended By,Owned Copies,Original Purchase Date,Original Purchase Location,Condition,Condition Description,BCID
22418720,Clients From Hell 2: A collection of anonymously-contributed client horror stories,Bryce Bladon,"Bladon, Bryce",,"=""""","=""9781311151513""",4,3.78,Smashwords Edition,ebook,,2014,2012,,2016/09/23,,,read,,,,1,,,0,,,,,
13625127,The Case for Copyright Reform,Christian Engström,"Engström, Christian",Rick Falkvinge,"=""147167178X""","=""9781471671784""",5,4.24,The Swedish Pirate Party & Greens/EFA EP,ebook,93,2012,2012,,2016/09/23,paper,paper (#17),read,,,,1,,,0,,,,,
1047351,GURPS Atlantis,Phil Masters,"Masters, Phil",,"=""1556344783""","=""9781556344787""",0,3.60,Steve Jackson Games,Paperback,128,2002,2002,,2016/09/23,"to-read, rpg","to-read (#40), rpg (#1)",to-read,,,,0,,,0,,,,,
1759367,GURPS Basic Set (Third Edition),Steve Jackson,"Jackson, Steve",,"=""155634127X""","=""9781556341274""",0,3.76,Steve Jackson Games,Paperback,272,1991,1989,,2016/09/23,"to-read, rpg, paper","to-read (#39), rpg (#2), paper (#16)",to-read,,,,0,,,0,,,,,
1291168,GURPS Space,Jon F. Zeigler,"Zeigler, Jon F.",James L. Cambias,"=""1556342454""","=""9781556342455""",0,3.98,Steve Jackson Games,Hardcover,240,2006,2006,,2016/09/23,"to-read, rpg, paper","to-read (#38), rpg (#6), paper (#15)",to-read,,,,0,,,0,,,,,
524913,GURPS Basic Set: Campaigns,Steve Jackson,"Jackson, Steve","Sean Punch, David L. Pulver, Andrew Hackard","=""1556347308""","=""9781556347306""",0,4.11,Steve Jackson Games,Hardcover,576,2004,2004,,2016/09/23,"to-read, rpg, paper","to-read (#37), rpg (#3), paper (#9)",to-read,,,,0,,,0,,,,,
524911,GURPS Basic Set: Characters,Steve Jackson,"Jackson, Steve","David L. Pulver, Sean Punch, Andrew Hackard","=""1556347294""","=""9781556347290""",0,4.02,Steve Jackson Games,Hardcover,336,2004,2004,,2016/09/23,"to-read, rpg, paper","to-read (#36), rpg (#4), paper (#8)",to-read,,,,0,,,0,,,,,
134825,The Cathedral & the Bazaar: Musings on Linux and Open Source by an Accidental Revolutionary,Eric S. Raymond,"Raymond, Eric S.",Bob Young,"=""0596001088""","=""9780596001087""",0,3.83,O'Reilly Media,Paperback,258,2001,1999,,2016/09/23,"to-read, to-buy, programming","to-read (#35), to-buy (#11), programming (#2)",to-read,,,,0,,,0,,,,,
14975340,Processing: Creative Coding and Generative Art in Processing 2,Ira Greenberg,"Greenberg, Ira","Dianna Xu, Deepak Kumar","=""143024464X""","=""9781430244646""",0,3.87,Apress,Paperback,472,2013,2012,,2016/09/21,"to-read, to-buy, programming","to-read (#34), to-buy (#10), programming (#22)",to-read,,,,0,,,0,,,,,
237893,High Score!: The Illustrated History of Electronic Games,Rusel DeMaria,"DeMaria, Rusel",Johnny L. Wilson,"=""0072224282""","=""0783254039872""",0,3.93,McGraw-Hill/Osborne Media,Paperback,328,2002,2002,,2016/09/13,"to-buy, computer-history, to-read, paper","to-buy (#9), computer-history (#7), to-read (#53), paper (#4)",to-read,,,,0,,,0,,,,,
31913646,Eniac: The Triumphs and Tragedies of the World's First Computer,Scott McCartney,"McCartney, Scott",,"=""""","=""""",3,3.77,"Blackstone Audio, Inc.",Audible Audio,,2000,1999,2016/12/11,2016/09/13,"computer-history, audio","computer-history (#3), audio (#2)",read,,,,1,,,0,,,,,
5435210,Racing the Beam: The Atari Video Computer System,Nick Montfort,"Montfort, Nick",Ian Bogost,"=""026201257X""","=""9780262012577""",0,4.08,MIT Press (MA),Hardcover,180,2009,2009,,2016/09/13,"to-read, to-buy, computer-history","to-read (#33), to-buy (#8), computer-history (#17)",to-read,,,,0,,,0,,,,,
434706,The Success of Open Source,Steven Weber,"Weber, Steven",,"=""0674018583""","=""9780674018587""",0,3.89,Harvard University Press,Paperback,312,2005,2004,,2016/09/13,"to-read, to-buy","to-read (#32), to-buy (#7)",to-read,,,,0,,,0,,,,,
722412,The Dream Machine: J.C.R. Licklider and the Revolution That Made Computing Personal,M. Mitchell Waldrop,"Waldrop, M. Mitchell",,"=""014200135X""","=""9780142001356""",0,4.38,Penguin Books,Paperback,512,2002,2001,,2016/09/13,"to-read, to-buy, computer-history","to-read (#31), to-buy (#6), computer-history (#6)",to-read,,,,0,,,0,,,,,
281818,Where Wizards Stay Up Late: The Origins of the Internet,Katie  Hafner,"Hafner, Katie",Matthew Lyon,"=""0684832674""","=""9780684832678""",4,3.90,Simon & Schuster,Paperback,304,1998,1996,,2016/09/13,"networking, computer-history, paper","networking (#8), computer-history (#13), paper (#3)",read,,,,1,,,0,,,,,
44874,Code: Version 2.0,Lawrence Lessig,"Lessig, Lawrence",,"=""0465039146""","=""9780465039142""",0,3.94,Basic Books,Paperback,416,2006,1999,,2016/09/13,to-read,to-read (#30),to-read,,,,0,,,0,,,,,
14721,The Wealth of Networks: How Social Production Transforms Markets and Freedom,Yochai Benkler,"Benkler, Yochai",,"=""0300110561""","=""9780300110562""",0,3.95,Yale University Press,Hardcover,528,2006,2006,,2016/09/13,"to-read, to-buy, networking","to-read (#29), to-buy (#5), networking (#3)",to-read,,,,0,,,0,,,,,
1753166,Delay- And Disruption- Tolerant Networking,Stephen Farrell,"Farrell, Stephen",Vinny Cahill,"=""1596930632""","=""9781596930636""",4,4.00,Artech House Publishers,Hardcover,226,2006,2006,,2016/09/13,"networking, paper","networking (#6), paper (#14)",read,,,,1,,,0,,,,,
13054822,Delay Tolerant Networks: Protocols and Applications,Athanasios V. Vasilakos,"Vasilakos, Athanasios V.","Yan Zhang, Thrasyvoulos Spyropoulos","=""1439811083""","=""9781439811085""",4,4.00,CRC Press,Hardcover,364,2011,2011,,2016/09/13,"networking, paper","networking (#5), paper (#13)",read,,,,1,,,0,,,,,
996998,X3D: Extensible 3D Graphics for Web Authors: Extensible 3D Graphics for Web Authors Vol 1 (The Morgan Kaufmann Series in Computer Graphics),Don Brutzman,"Brutzman, Don",Leonard Daly,"=""012088500X""","=""9780120885008""",3,3.50,Morgan Kaufmann,Paperback,441,2007,2007,,2016/09/13,"web-dev, programming, paper","web-dev (#22), programming (#35), paper (#12)",read,,,,1,,,0,,,,,
13488507,The Future Was Here: The Commodore Amiga,Jimmy Maher,"Maher, Jimmy",,"=""0262017202""","=""9780262017206""",0,3.92,MIT Press,Hardcover,328,2012,2012,,2016/09/13,"to-read, to-buy, computer-history","to-read (#28), to-buy (#4), computer-history (#16)",to-read,,,,0,,,0,,,,,
13595478,Commodore: The Amiga Years,Brian  Bagnall,"Bagnall, Brian",,"=""0973864990""","=""9780973864991""",0,4.00,Variant Press,Hardcover,540,2013,2012,,2016/09/13,"to-read, to-buy, computer-history","to-read (#27), to-buy (#3), computer-history (#15)",to-read,,,,0,,,0,,,,,
20434467,Commodore: A Company on the Edge,Brian  Bagnall,"Bagnall, Brian",,"=""""","=""""",4,4.16,Variant Press,Kindle Edition,548,2012,2011,,2016/09/13,"computer-history, paper","computer-history (#2), paper (#2)",read,,,,1,,,0,,,,,
412006,On the Edge: The Spectacular Rise and Fall of Commodore,Brian  Bagnall,"Bagnall, Brian",,"=""0973864907""","=""9780973864908""",4,4.19,Variant Press,Hardcover,548,2006,2005,,2016/09/13,"computer-history, paper","computer-history (#1), paper (#1)",read,,,,1,,,0,,,,,
1427580,Fire in the Valley: The Making of the Personal Computer,Paul Freiberger,"Freiberger, Paul",Michael Swaine,"=""0071358927""","=""9780071358927""",0,4.12,McGraw-Hill,Paperback,463,1999,1984,,2016/09/13,"to-buy, computer-history, to-read","to-buy (#2), computer-history (#12), to-read (#52)",to-read,,,,0,,,0,,,,,
23258925,The Boy Who Could Change the World: The Writings of Aaron Swartz,Aaron Swartz,"Swartz, Aaron",Lawrence Lessig,"=""162097066X""","=""9781620970669""",5,4.22,New Press,Paperback,359,2016,2015,,2016/09/13,,,read,,,,1,,,0,,,,,
638812,"Fumbling the Future: How Xerox Invented, Then Ignored, the First Personal Computer",Douglas K. Smith,"Smith, Douglas K.",Robert C. Alexander,"=""1583482660""","=""9781583482667""",4,3.87,iUniverse,Paperback,276,1999,1988,,2016/09/13,computer-history,computer-history (#5),read,,,,1,,,0,,,,,
1101290,Dealers of Lightning: Xerox PARC and the Dawn of the Computer Age,Michael A. Hiltzik,"Hiltzik, Michael A.",,"=""0887309895""","=""9780887309892""",0,4.12,HarperBusiness,Paperback,480,2000,1999,,2016/09/13,"to-buy, computer-history, to-read","to-buy (#1), computer-history (#11), to-read (#51)",to-read,,,,0,,,0,,,,,
10260609,CMS Design Using PHP and Jquery,Kae Verens,"Verens, Kae",,"=""1849512523""","=""9781849512527""",0,2.25,Packt Publishing,Paperback,340,2010,2010,,2016/09/13,"to-read, programming, web-dev","to-read (#26), programming (#3), web-dev (#2)",to-read,,,,0,,,0,,,,,
18604813,Getting Started with Webrtc,Rob Manson,"Manson, Rob",,"=""1782166300""","=""9781782166306""",0,4.21,Packt Publishing,Paperback,114,2013,2013,,2016/09/13,"to-read, programming","to-read (#25), programming (#6)",to-read,,,,0,,,0,,,,,
12652868,Html5 Games Development by Example: Beginner's Guide,Makzan,"Makzan, Makzan",,"=""1849691266""","=""9781849691260""",0,3.50,Packt Publishing,Paperback,352,2011,2011,,2016/09/13,,,read,,,,1,,,0,,,,,
